industry_group,skill,selection_method,coefficient,std_err,p_value,ci_lower,ci_upper,n_samples
机械工程,excel技能包,Mutual Information,284.78660553894605,1567.947154806253,0.8558729217316046,-2788.3898178813097,3357.9630289592014,260
机械工程,日常管理,Mutual Information,11496.619119797277,3214.102813981175,0.0003476539081805754,5196.977604394174,17796.26063520038,260
机械工程,技术规范,Mutual Information,2395.118276473333,3490.33610801262,0.4925780307972184,-4445.940495231403,9236.17704817807,260
机械工程,安全生产,Mutual Information,-2915.8021304221365,2484.5307321956166,0.24056223888774353,-7785.482365525545,1953.878104681272,260
机械工程,项目管理,Mutual Information,-909.0044555144509,1514.8260260763232,0.548458352324639,-3878.0634666240444,2060.0545555951426,260
机械工程,工艺开发,Mutual Information,1544.5923761799588,3471.508590735421,0.6563674149978633,-5259.564461661466,8348.749214021384,260
机械工程,理工科,Mutual Information,56.25426553158439,2534.9308757819044,0.9822950887459433,-4912.210251000948,5024.7187820641175,260
机械工程,ppt,Mutual Information,-1782.4337276345689,3313.1605697000937,0.5905867711695814,-8276.228444246752,4711.360988977614,260
机械工程,设备维护,Mutual Information,-1699.2649548631032,3055.4720241677437,0.5781163283054105,-7687.990122231881,4289.4602125056745,260
机械工程,编程,Mutual Information,-2693.5466608751603,2182.3675553915664,0.21711667330341144,-6970.98706944263,1583.8937476923093,260
材料与轻工,五金,Mutual Information,-1191.503646078009,4616.325448466286,0.796324708257756,-10239.501525071928,7856.49423291591,110
材料与轻工,食品,Mutual Information,-3570.426092259601,3772.5986658965185,0.34393937323359935,-10964.719477416776,3823.867292897575,110
材料与轻工,iatf16949,Mutual Information,134.21787356857175,3764.11209965783,0.9715556610836293,-7243.441841760775,7511.877588897919,110
材料与轻工,办公软件,Mutual Information,-1812.221575053192,2092.421117019429,0.38644170757719387,-5913.366964411273,2288.9238143048888,110
材料与轻工,客户服务意识,Mutual Information,-1423.3150391014801,3992.508339594838,0.7214688121694761,-9248.631384707363,6402.001306504402,110
材料与轻工,生产管理技能包,Mutual Information,-2893.5293480538703,3139.71088839679,0.35674194632265777,-9047.362689311578,3260.3039932038373,110
材料与轻工,塑胶件,Mutual Information,2808.8614232500695,4613.090129186888,0.5425977877464132,-6232.795229956229,11850.518076456368,110
材料与轻工,采购,Mutual Information,209.02370791902436,4608.142385065901,0.9638206455803976,-8822.935366810141,9240.98278264819,110
